"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon May 20 19:35:19 AMT 2024","Mon May 20 19:35:26 AMT 2024","6309","chromium","loginPage.spec.js","","","","Ensure that the login button is unclickable when both the login and password fields are empty.",""
"passed","Mon May 20 19:36:17 AMT 2024","Mon May 20 19:36:19 AMT 2024","1840","webkit","loginPage.spec.js","","","","Authorization with valid credentials",""
"passed","Mon May 20 19:35:18 AMT 2024","Mon May 20 19:35:19 AMT 2024","1610","chromium","loginPage.spec.js","","","","Authorization with invalid username and invalid password",""
"passed","Mon May 20 19:36:21 AMT 2024","Mon May 20 19:36:22 AMT 2024","1604","webkit","loginPage.spec.js","","","","Authorization with an empty username and password",""
"failed","Mon May 20 19:35:53 AMT 2024","Mon May 20 19:35:59 AMT 2024","5961","firefox","sortingBar.spec.js","","","","Verify that sorting menu bar contains 4 sorting functions",""
"passed","Mon May 20 19:36:19 AMT 2024","Mon May 20 19:36:21 AMT 2024","1889","webkit","loginPage.spec.js","","","","Authorization with invalid username and invalid password",""
"passed","Mon May 20 19:35:16 AMT 2024","Mon May 20 19:35:18 AMT 2024","1571","chromium","loginPage.spec.js","","","","Authorization with invalid username and valid password",""
"passed","Mon May 20 19:36:19 AMT 2024","Mon May 20 19:36:21 AMT 2024","1663","webkit","loginPage.spec.js","","","","Authorization with empty username",""
"passed","Mon May 20 19:35:47 AMT 2024","Mon May 20 19:35:50 AMT 2024","3485","firefox","loginPage.spec.js","","","","Authorization with invalid username and invalid password",""
"passed","Mon May 20 19:36:06 AMT 2024","Mon May 20 19:36:13 AMT 2024","7612","webkit","checkoutView.spec.js","","","","Verify that item title, description and the price are the same as in product page",""
"failed","Mon May 20 19:36:22 AMT 2024","Mon May 20 19:36:24 AMT 2024","2249","webkit","sortingBar.spec.js","","","","Verify that sorting menu bar contains 4 sorting functions",""
"passed","Mon May 20 19:35:22 AMT 2024","Mon May 20 19:35:23 AMT 2024","1608","chromium","sortingBar.spec.js","","","","Verify Sorting in Low to High Order is working as expected, async",""
"passed","Mon May 20 19:35:51 AMT 2024","Mon May 20 19:35:54 AMT 2024","3022","firefox","loginPage.spec.js","","","","Ensure that login is possible with the Enter button.",""
"passed","Mon May 20 19:35:28 AMT 2024","Mon May 20 19:35:40 AMT 2024","12488","firefox","checkoutView.spec.js","","","","Verify That the Cancel Button Returns to the Product Page",""
"passed","Mon May 20 19:36:13 AMT 2024","Mon May 20 19:36:18 AMT 2024","5198","webkit","checkoutView.spec.js","","","","Verify That the ""Item Total"" is the sum of all chosen item prices",""
"passed","Mon May 20 19:35:25 AMT 2024","Mon May 20 19:35:37 AMT 2024","12284","firefox","checkoutView.spec.js","","","","Verify that shopping cart button returns ""Your cart"" page",""
"passed","Mon May 20 19:36:18 AMT 2024","Mon May 20 19:36:20 AMT 2024","1655","webkit","loginPage.spec.js","","","","Authorization with invalid username and valid password",""
"passed","Mon May 20 19:35:07 AMT 2024","Mon May 20 19:35:14 AMT 2024","6690","chromium","checkoutView.spec.js","","","","Verify that item title, description and the price are the same as in product page",""
